,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
0,a,3.40756553825164,-0.9599806414168407,u,g,c,v,-0.6571778315531449,f,f,-0.5412592313176405,f,p,-0.10610081119270708,-0.1827731000827898,+
1,b,1.4782735367948185,0.7669521076856404,u,g,c,h,3.202683963079685,t,t,1.5176809380437974,f,g,-0.009172818491798188,0.11209781357843668,+
2,b,-0.6698912760405916,-0.6552278033399324,u,g,c,h,-0.2202414764007085,t,f,-0.5412592313176405,f,g,1.4224347986646757,-0.14713915281255094,+
3,a,1.3658793904112194,-0.35047496526302385,u,g,x,v,3.6272687604892964,t,t,-0.08371697145954318,t,g,1.9986420138687335,0.1208281306596452,+
4,b,0.8655986786887319,-0.6471010609912148,u,g,i,bb,0.4235834709440475,f,f,-0.5412592313176405,f,g,0.1987370014271918,-0.1827731000827898,+
5,b,-0.21862455296659095,0.9365978542151195,u,g,q,h,1.0921115337744536,t,t,0.8313675482566515,f,g,1.1788832953310018,-0.15284058437578915,+
6,a,0.5486978900131698,0.1574464315318235,u,g,q,v,-0.6185792136068166,t,f,-0.5412592313176405,t,g,0.2700203682565598,-0.1827731000827898,+
7,b,0.3095434281593458,0.05586215217285403,u,g,x,h,1.658739245226553,t,t,0.8313675482566515,t,g,-1.0843636015014322,-0.004603363731595549,+
8,b,-0.9369330072978649,0.18284250137156588,u,g,w,v,-0.12914873804737376,t,f,-0.5412592313176405,f,s,-0.3715299332077522,-0.1827731000827898,+
9,b,-0.733271433775704,1.0798316881112662,u,g,x,v,-0.6448262738103198,t,t,1.5176809380437974,f,g,-0.7279467673545921,-0.11221788448771687,+
10,a,-0.47975080283525434,-0.9599806414168407,u,g,c,v,-0.6571778315531449,f,f,-0.5412592313176405,f,p,-0.10610081119270708,-0.1827731000827898,+
11,b,1.7174279986486425,2.0875477393522432,u,g,c,v,1.9675281887971794,t,t,1.5176809380437974,f,g,-1.0843636015014322,-0.1827731000827898,+
